Marc Daniels,8.1
Rajkumar Hirani,8.1
Brent Triplett,8.1
Ross MacGibbon,8.1
Eduard Abalov,8.1
Vladimir Slavica,8.1
Gui Pereira,8.1
Radwan El-Kashef,8.1
Manole Marcus,8.1
M.S. Sathyu,8.1
Wan Laiming,8.1
Toshihiko Arisako,8.1
Pete Docter,8.1
Zoran Pezo,8.1
Abhishek,8.1
Aditya Kripalani,8.1
Zvonimir Berkovic,8.1
Tharun Bhascker Dhaassyam,8.1
Amirjan,8.1
Tony Kaye,8.1
Melih Gülgen,8.1
Julia Albain,8.1
Goran Gajic,8.1
Soubin Shahir,8.1
Raffaele Andreassi,8.1
Prakash Arora,8.1
Arif Babayev,8.1
Nirmal Dey,8.1
Paresh Mokashi,8.1
Tarnvir Singh Jagpal,8.1
Cheng Tang,8.1
Nithilan,8.1
Rao C.S.R.,8.1
Kátia Lund,8.1
Meenakshii,8.1
Vijith Nambiar,8.1
Matthew Dunster,8.0
Ram Babu Gurung,8.0
Kshitij Sharma,8.0
Mori Masaki,8.0
Ginatri S. Noer,8.0
Pawo Choyning Dorji,8.0
Mark Zakharov,8.0
Martha Pinson,8.0
Agradoot,8.0
Aurel Miheles,8.0
Mark Bramble,8.0
Radivoje Andric,8.0
Manu Ashokan,8.0
Satyajit Ray,8.0
Renate Westphal-Lorenz,8.0
Lee Isaac Chung,8.0
R.S. Vimal,8.0
Hayao Miyazaki,8.0
Chezhian Ra,8.0
Attila Dargay,8.0
Nasiruddin Yousuff,8.0
André Chemetoff,8.0
Charles Laughton,8.0
Viktor Ivanov,8.0
Jared Bush,8.0
Sôichi Masui,8.0
Vijjapat Kojiw,8.0
Jan Pinkava,8.0
Hardik Mehta,8.0
Sohanur Rahman Sohan,8.0
Ermalo Magradze,8.0
Danny Patrick,8.0
Varun Narvekar,8.0
Lucien Bourjeily,8.0
Kyamil Rustambekov,8.0
Om Raut,8.0
Narthan,8.0
Girish A.D.,8.0
Bhavna Talwar,8.0
Subhankar Ghosh,8.0
Milan Blazekovic,8.0
Roman Kachanov,8.0
Loveleen Tandan,8.0
Frank Darabont,8.0
Vojislav Nanovic,8.0
T.V. Chandran,8.0
Malindi Fickle,8.0
Li Kao Yang,8.0
Sally Cookson,8.0
R. Ravikumar,8.0
Vijaya Prasad,8.0
Suchanda,8.0
Raj B. Shetty,8.0
Eldar Kuliyev,7.9
S. Ram Sharma,7.9
Stéphane Aubier,7.9
Uberto Pasolini,7.9
Dalton Trumbo,7.9
Raju Saravanan,7.9
Rob Ashford,7.9
Mani C. Kappan,7.9
Anjali Menon,7.9
V.J. Gopinath,7.9
Chadi Abdel Salam,7.9
Padmakumar Narasimhamurthy,7.9
Vineesh Aaradya,7.9
Peter Neal,7.9
M.G. Srinivas,7.9
Raveen Kumaara,7.9
Jirí Krejcík,7.9
Hemen Gupta,7.9
Brett Sullivan,7.9
Vincent Patar,7.9
Kip Oebanda,7.9
Tristan James Jensen,7.9
Horatiu Malaele,7.9
Satyanshu Singh,7.9
Christopher Luscombe,7.9
Ahmet Uluçay,7.9
Sachin,7.9
Tatsuya Nagamine,7.9
Nitheesh K. Nair,7.9
Santosh Manjrekhar,7.9
Arianne Benedetti,7.9
Ivan Andonov,7.9
Sergio Leone,7.9
Ittisoontorn Vichailak,7.9
Anam Biswas,7.9
Amshan Kumar,7.9
Pritha Chakraborty,7.9
Jenni Toivoniemi,7.9
Andrei Tarkovsky,7.9
Cherag Ruparel,7.9
Syed Nurfaiz Khalid bin Syed Ibrahim,7.9
Ladislav Smoljak,7.9
Victor Iliu,7.9
Dayal Padmanabhan,7.9
Tian Xie,7.9
Shamil Makhmudbekov,7.9
Mate Relja,7.9
Zako Heskiya,7.9
Marijonas Giedrys,7.9
Ivo van Hove,7.9
Shoaib Mansoor,7.9
Sadhu Kokila,7.9
Ayman Jamal,7.9
Anders W. Berthelsen,7.9
Ali Sade,7.9
John McColgan,7.9
Cristian Nemescu,7.9
D. Sumana Kittur,7.9
Takaomi Kanasaki,7.9
Bhaskar Hazarika,7.9
Simon Godwin,7.9
Tymur Yashchenko,7.9
Jandhyala,7.9
Ahmad Razuri bin Roseli,7.9
Adarsh Eshwarappa,7.9
Komgrit Triwimol,7.9
Vijay,7.9
Avinash Arun,7.9
Rezo Chkheidze,7.9
Adam Bin Amiruddin,7.9
Masashi Koizuka,7.9
Aleksandar Boskovic,7.9
Devanshu Singh,7.9
Hunsur Krishnamurthy,7.9
Shin'ichirô Watanabe,7.9
Shin'ichirô Ushijima,7.9
Stole Popov,7.9
